"GENE"	"TCGA_bladder"	"TCGA_prostate"	"TCGA_thyroid"
"388"	"SUPV3L1"	398.4468	365.7013	421.138
"389"	"RFT1"	397.2521	532.8141	520.9453
"390"	"PAIP2"	1535.2449	1670.1549	2281.773
"391"	"CTNND2"	17.9211	95.7248	7.7087
"392"	"SPATA13"	440.0418	780.0633	796.8354
"393"	"SLC7A10"	0	1.9599	8.1388
"394"	"UPP2"	0	1.6225	0.8114
"395"	"NPVF"	0	0	0.8114
"396"	"BTG4"	0	0	0.4057
"397"	"YWHAZ"	37238.9486	11762.1481	13215.9448
"398"	"ING4"	101.5532	602.2552	914.4944
"399"	"R3HDM1"	284.3489	498.4181	557.0545
"400"	"CD14"	514.9343	1362.213	1360.3814
"401"	"SNORD21"	0	0	0
"402"	"SLC32A1"	1.7921	0	0.4057
"403"	"CCT8L2"	0	0	0
"404"	"DUSP4"	2887.0968	1343.717	301.0447
"405"	"NEGR1"	356.6308	366.3503	73.0297
"406"	"UACA"	892.4731	1224.6289	2272.8471
"407"	"OCM2"	0	0	0
"408"	"LCORL"	56.5532	90.3675	67.2604
"409"	"HOPX"	404.4205	328.0604	3264.0227
"410"	"YRDC"	879.7013	333.077	247.4328
"411"	"C4orf23"	255.675	263.4867	335.9367
"412"	"KLHL2"	583.0346	435.7914	608.9867
"413"	"PCNX"	1178.6141	1887.2394	1394.4619
"414"	"ATP8A2"	10.7527	5.5163	5.6801
"415"	"QARS"	5528.0765	3355.2365	2808.3984
"416"	"STAG2"	1603.3453	3420.7836	2832.3359
"417"	"C13orf36"	0.5974	38.9389	141.5965
"418"	"ARHGEF35"	1219.8327	934.8584	537.1742
"419"	"TMEM132B"	12.5448	41.8593	245.461
"420"	"TMEM223"	214.4564	265.7581	275.4843
"421"	"REV3L"	962.3656	1273.9515	756.2633
"422"	"RAD9A"	186.8757	234.8568	295.8758
"423"	"PTGS1"	720.4301	462.3996	297.799
"424"	"DOK7"	145.7587	67.4941	49.9036
"425"	"TMEM68"	304.0621	379.6544	332.6909
"426"	"RAD9B"	25.687	36.343	40.9778
"427"	"CBLN3"	49.5818	53.8136	150.9281
"428"	"SNF8"	579.4504	515.9406	770.0578
"429"	"PRKCDBP"	144.5639	335.1992	213.0033
"430"	"SNORD103A"	0	0	0
"431"	"IL11RA"	302.27	257.6458	781.8237
"432"	"ZNF189"	417.5627	549.3632	532.3055
"433"	"ZNF10"	455.7945	265.7581	578.5577
"434"	"NCRNA00051"	0	0	0
"435"	"XKR4"	5.3763	7.7878	3.6515
"436"	"CRIPAK"	127.2401	174.2516	315.6507
"437"	"SF3B3"	2978.4946	3000.5679	2847.7533
"438"	"ST8SIA3"	0.5974	9.7347	0
"439"	"STAG3L3"	171.6308	164.3482	352.1818
"440"	"ENO2"	350.0597	536.0591	1422.0509
"441"	"KRT85"	0	0.3245	3.6515
"442"	"ACAA1"	2176.822	1463.1297	1480.069
"443"	"CYTL1"	194.7431	53.2165	18.6632
"444"	"WWC1"	1340.5018	1684.1081	1780.3023
"445"	"C10orf82"	46.595	29.2042	44.6293
"446"	"TAP2"	1145.8303	1133.4047	2330.6502
"447"	"TMOD3"	3060.9319	1609.4751	1085.7085
"448"	"OR4K17"	0	0	0
"449"	"INPP5J"	148.7455	324.8154	4481.1847
"450"	"CCL27"	0.5974	0	0
"451"	"CXCL11"	13.7395	90.8575	145.6537
"452"	"ELL"	1385.3047	489.0079	557.4602
"453"	"SLC39A13"	858.4229	804.0886	817.5271
"454"	"PATE3"	0	13.6286	0
"455"	"ZNF286B"	10.7527	31.8001	16.2288
"456"	"APOBEC1"	0	0	0
"457"	"CTAGE9"	327.957	169.3843	171.6198
"458"	"LOC149620"	0	0	0
"459"	"HNRNPD"	5556.7503	3442.2	4727.0514
"460"	"UBE3C"	1968.9367	2030.0154	1230.9565
"461"	"MAX"	1093.7873	1342.4191	1591.6422
"462"	"WFDC12"	0	0.3245	1.6229
"463"	"TAB1"	255.6093	984.0935	859.6288
"464"	"TRIM24"	488.0526	661.3126	382.5946
"465"	"HGD"	0	342.0135	600.0609
"466"	"KCNJ4"	0	0	0.4057
"467"	"UBASH3A"	22.7001	18.496	251.1411
"468"	"CMTM6"	3535.2449	2699.1158	2853.0277
"469"	"C1orf146"	0	0	0.4057
"470"	"USPL1"	486.8578	469.5384	532.7112
"471"	"LTBP3"	3968.6738	5281.5933	6074.7621
"472"	"DHX57"	242.5329	578.5674	462.5216
"473"	"LOC729799"	11.9474	12.3307	25.1547
"474"	"GPC6"	351.2545	608.745	129.4249
"475"	"METT10D"	867.3835	1098.7264	841.4647
"476"	"LSM11"	146.356	390.3626	141.1908
"477"	"GBX2"	1.1947	0	0.4057
"478"	"H2AFZ"	2369.1756	1468.3216	2418.5009
"479"	"MYO7A"	88.411	114.2208	200.0203
"480"	"GRAMD1C"	174.4325	226.4947	364.7429
"481"	"HSP90B3P"	4.1816	10.3837	36.9206
"482"	"RAD51AP2"	0	1.9469	0.4057
"483"	"PSG7"	0	0.3245	0
"484"	"DUSP1"	34465.9498	18221.1406	18634.3443
"485"	"RAB7L1"	275.3883	764.8252	1192.8187
"486"	"DOCK6"	1394.2652	784.6191	973.3239
"487"	"CYP4F8"	148.7455	486.0875	0.8114
"488"	"C17orf48"	130.8244	264.1356	171.2141
"489"	"EHD2"	3159.4982	3665.1253	1673.5977
"490"	"HMGN5"	138.5902	147.3189	204.1059
"491"	"SC65"	80.0478	373.1646	637.7929
"492"	"SLAMF7"	225.8065	167.1128	2282.5844
"493"	"KLB"	10.1553	11.6817	3.2458
"494"	"CLTC"	8654.7192	10110.1647	6350.7455
"495"	"YY1AP1"	2179.2115	1588.7077	1608.6824
"496"	"IL11"	253.8829	5.8408	0.8114
"497"	"HNRNPA1L2"	3345.8781	2229.5774	1945.8363
"498"	"PDZD8"	744.325	815.4458	271.8328
"499"	"DDI1"	0	0	0
"500"	"DENND2D"	1240.1434	474.7303	1005.3758
"501"	"DAZ3"	0	0	0
"502"	"LOC151300"	0	0	0
"503"	"GABRA6"	0	0	0
"504"	"HYALP1"	0	0	0
"505"	"KTN1"	11227.5986	5661.3937	5183.0814
"506"	"SOCS2"	1183.9904	1189.2593	276.7015
"507"	"GPR107"	1433.0944	3209.8645	2513.8452
"508"	"CDC42EP1"	1675.6272	1433.2765	845.5219
"509"	"CDKL2"	5.9737	39.5879	251.5468
"510"	"CDK16"	3111.1111	1205.4839	1695.5066
"511"	"ZNF280C"	69.8925	100.2677	88.8528
"512"	"ANKRD39"	93.19	139.2066	154.1739
"513"	"APITD1"	38.8292	214.2192	303.3655
"514"	"PRR14"	563.3214	550.3367	734.7601
"515"	"XKR9"	40.6213	38.6144	15.4174
"516"	"SNORA61"	0	0	0
"517"	"CHST9"	91.9952	387.4422	0.8114
"518"	"CDH9"	0	1.9469	0
"519"	"SIRT7"	533.4528	221.3028	371.6401
"520"	"SGMS1"	878.7336	1156.4858	955.4722
"521"	"LOC387647"	328.7157	429.0387	360.8845
"522"	"POTEH"	0	23.3633	0
"523"	"GPR17"	16.7264	11.6817	7.303
"524"	"NUDT6"	15.2151	54.7124	94.2327
"525"	"SNORD76"	0	0	0
"526"	"FLJ43390"	5.3763	1.298	6.0858
"527"	"SERPINA4"	1.7921	41.8593	0
"528"	"FSTL1"	5607.5269	13691.2469	2597.4237
"529"	"TRHDE"	77.7599	194.0748	1.6229
